train,train,train,train,valid,valid,valid,valid
MSE,MAE,IC,ICIR,MSE,MAE,IC,ICIR
0.15036096731883083,0.31408916651700186,0.09782581418603085,0.7573035795135367,0.16566486845991762,0.33123176185344827,0.005994742160882809,0.05902649817053665
0.1491387741764697,0.3125801192828065,0.10515909375713786,0.8135100010294757,0.16356528588987454,0.3286327624692118,0.018592466362772498,0.1867875893208472
0.14827594621610093,0.31124338631465515,0.11033617814201796,0.861490644044719,0.16387199080684267,0.32868370535714286,0.016752234402696162,0.16057259966526338
0.14767695985523677,0.3104289526460728,0.11393014251817807,0.8871519721908552,0.16438416264335745,0.32923850061576354,0.013679165465866738,0.12621173019877854
0.14711196963816675,0.309618429717433,0.11732010883669147,0.9325799475450192,0.163613845710341,0.32841906942733995,0.018301156258948462,0.17210888660084958
0.14600130558174687,0.3079628472222222,0.1239841755612638,1.016100541172169,0.1620226895012315,0.32633942041256164,0.02784826286219144,0.2574307126139584
0.14504079695076777,0.3065512279992816,0.12974726452244068,1.0847238672046626,0.162242671071621,0.32648430957512314,0.02652835643854235,0.23627121929105976
0.14425599485340337,0.30550140834530654,0.13445606834777057,1.1630323771728266,0.1611594023605873,0.3252929148706897,0.03302806698198866,0.30027167865036464
0.1436808445039362,0.3046951074592911,0.13790698177489738,1.2277536832962057,0.16081545336793795,0.3248601524014778,0.035091791690108426,0.3199543346544907
0.14324164017366725,0.3043362667624521,0.14054223877668667,1.2451194336727662,0.16199799098724216,0.32645006927339904,0.02799644136162829,0.2505279703228391
0.14274877306567663,0.3037098973299809,0.1434994856049405,1.2823803276328263,0.1625400872724561,0.3270690540332512,0.024743808736645414,0.22291194551168184
0.14221180817188248,0.3031329292385057,0.1467213011684847,1.334190866924766,0.16162489067070118,0.32620584590517243,0.030235062291333572,0.2918203208352409
0.14188859094425363,0.30258310509458813,0.1486606448150811,1.3362954637063853,0.162205877520782,0.32664234913793105,0.02674908795198739,0.25508777824748374
0.14156022673695295,0.3022557905292146,0.15063086369432216,1.3584906338930585,0.16149501039582048,0.32603134236453196,0.031014361834977435,0.3086757676026666
0.14124923477862714,0.3016965322677203,0.15249685101889654,1.3690081568566097,0.16115102788254312,0.3254253540640394,0.03307829281668741,0.3279836642030397
0.14070583793037972,0.3010273594647988,0.15575724832706464,1.4440268011934818,0.16035441134688655,0.3245576393165025,0.03785806336448496,0.38333591623492763
0.14038936695505194,0.30069383306393677,0.15765610082635034,1.4420864767221124,0.16106890872267546,0.3254631504002463,0.03357100973093034,0.3364987851280788
0.13998140380578755,0.3003005859375,0.1601039082160261,1.4679755180871557,0.16047046202711285,0.32499862607758623,0.03716173587221183,0.38382952330316067
0.13962766132690896,0.29971719498323757,0.16222638779320112,1.5021970895255752,0.16039752241523633,0.32484968057266006,0.03759936611278331,0.39119280466646816
0.13916363992438185,0.2992601001257184,0.16501049622367814,1.6084712736704239,0.1591154906889817,0.3235917718596059,0.04529166732974103,0.5056186878565464
